FID_J09229EDC426947CC981F6871CF,GEO_ID,STATE,COUNTY,TRACT,BLKGRP,NAME,LSAD,CENSUSAREA,TARGET_FID,B25024e1,B25024m1,B25024e10,B25024m10,B25033e1,B25033m1,B25033e2,B25033m2,B25033e6,B25033m6,B25033e8,B25033m8,B25033e12,B25033m12,JoinID,TotalPopInMobileHomes,GEO_ID_1,STATE_1,COUNTY_1,TRACT_1,BLKGRP_1,NAME_1,LSAD_1,CENSUSAREA_1,FID_CA_SHP_CA_SHP_0,Shape__Area,Shape__Length,AnalysisArea
113,1500000US060650491001,6,65,49100,1,1,BG,0.565,8468,3911.0,70.0,267.0,116.0,5517.0,663.0,3258.0,647.0,199.0,113.0,2259.0,675.0,118.0,140.0,06065049100,317.0,1500000US060650491001,6,65,49100,1,1,BG,0.565,4600,2117773.6953125,6548.91074985,0.56462386
58,1500000US060650452092,6,65,45209,2,2,BG,0.25299999,8413,1879.0,60.0,100.0,62.0,5674.0,461.0,2802.0,405.0,305.0,222.0,2872.0,450.0,20.0,31.0,06065045209,325.0,1500000US060650452092,6,65,45209,2,2,BG,0.25299999,2961,940187.4375,4034.65009996,0.25049871
85,1500000US060650414112,6,65,41411,2,2,BG,0.133,8138,829.0,18.0,194.0,40.0,2743.0,418.0,2240.0,273.0,319.0,71.0,503.0,341.0,12.0,17.0,06065041411,331.0,1500000US060650414112,6,65,41411,2,2,BG,0.133,4182,511660.9765625,3205.41064068,0.13582573
290,1500000US060650438211,6,65,43821,1,1,BG,0.76999998,8339,1094.0,47.0,98.0,49.0,3530.0,277.0,1890.0,374.0,184.0,156.0,1640.0,442.0,150.0,154.0,06065043821,334.0,1500000US060650438211,6,65,43821,1,1,BG,0.76999998,14394,2921511.84765625,8368.56910527,0.77445152
136,1500000US060250115003,6,25,11500,3,3,BG,0.111,4494,2015.0,83.0,144.0,56.0,5840.0,487.0,2117.0,427.0,246.0,133.0,3723.0,571.0,102.0,128.0,06025011500,348.0,1500000US060250115003,6,25,11500,3,3,BG,0.111,8937,390146.91796875,3145.70024198,0.10614113
86,1500000US060650415002,6,65,41500,2,2,BG,0.73799998,8140,865.0,42.0,98.0,51.0,2806.0,385.0,1055.0,371.0,342.0,210.0,1751.0,445.0,13.0,20.0,06065041500,355.0,1500000US060650415002,6,65,41500,2,2,BG,0.73799998,4183,2798322.73828125,8603.77440313,0.7427181
246,1500000US060650451241,6,65,45124,1,1,BG,23.8220005,8410,1318.0,44.0,413.0,80.0,1236.0,152.0,964.0,144.0,268.0,102.0,272.0,123.0,91.0,76.0,06065045124,359.0,1500000US060650451241,6,65,45124,1,1,BG,23.8220005,14160,89387029.61328125,59057.307191,23.83888011
192,1500000US060659406001,6,65,940600,1,1,BG,8.96399975,8487,2816.0,79.0,380.0,75.0,3137.0,254.0,2655.0,232.0,352.0,96.0,482.0,159.0,15.0,14.0,06065940600,367.0,1500000US060659406001,6,65,940600,1,1,BG,8.96399975,12852,33714475.12109375,27753.52022752,8.95924828
167,1500000US060650468002,6,65,46800,2,2,BG,0.322,8454,1503.0,26.0,34.0,50.0,6428.0,588.0,4528.0,695.0,0.0,17.0,1900.0,857.0,377.0,556.0,06065046800,377.0,1500000US060650468002,6,65,46800,2,2,BG,0.322,12633,1238558.8515625,5646.41976111,0.32836195
6,1500000US060650428002,6,65,42800,2,2,BG,0.59600002,8248,2316.0,114.0,187.0,107.0,8098.0,950.0,3552.0,703.0,362.0,194.0,4546.0,1120.0,17.0,28.0,06065042800,379.0,1500000US060650428002,6,65,42800,2,2,BG,0.59600002,996,2277240.0546875,6836.74568291,0.60587613
341,1500000US060650448061,6,65,44806,1,1,BG,0.47799999,8373,1751.0,37.0,371.0,79.0,2151.0,285.0,1018.0,157.0,385.0,127.0,1133.0,247.0,11.0,18.0,06065044806,396.0,1500000US060650448061,6,65,44806,1,1,BG,0.47799999,14981,1881626.2734375,5810.82120045,0.50024425
148,1500000US060650427092,6,65,42709,2,2,BG,1.12100005,8222,2172.0,87.0,317.0,113.0,4258.0,522.0,3503.0,550.0,370.0,157.0,755.0,364.0,43.0,69.0,06065042709,413.0,1500000US060650427092,6,65,42709,2,2,BG,1.12100005,11452,4207645.8125,8100.53364941,1.12135322
